Pedestrain,Time,xpos,ypos
2,15:40,12,6
2,15:45,11,8
2,15:50,11,9
2,15:55,10,10
2,16:0,10,11
2,16:5,9,12
2,16:10,9,13
2,16:15,8,14
2,16:20,7,14
2,16:25,6,14
2,16:30,5,14
2,16:35,4,15
2,16:40,4,16
2,16:45,4,17
2,16:50,4,18
2,16:55,4,19
2,17:0,3,20
2,17:0,3,20
2,17:0,12,6
2,17:5,10,7
2,17:10,10,8
2,17:15,10,9
2,17:20,11,10
2,17:25,11,11
2,17:30,10,12
2,17:35,10,13
2,17:40,9,14
2,17:45,9,15
2,17:50,9,16
2,17:55,9,17
2,18:0,9,18
2,18:5,8,19
2,18:10,7,19
2,18:15,6,19
2,18:20,5,19
2,18:25,4,20
2,18:30,3,20
2,18:30,3,20
2,18:30,12,6
2,18:35,11,4
2,18:40,11,3
2,18:45,12,2
2,18:50,13,2
2,18:55,14,2
2,19:0,15,2
2,19:5,16,2
2,19:10,17,2
2,19:15,18,3
2,19:20,18,4
2,19:25,18,5
2,19:30,18,6
2,19:35,18,7
2,19:40,18,8
2,19:45,18,9
2,19:50,19,10
2,19:55,20,11
2,20:0,20,12
2,20:5,20,13
2,20:10,20,14
2,20:15,20,15
2,20:20,20,16
2,20:25,20,17
2,20:30,20,18
2,20:35,19,19
2,20:40,18,19
2,20:45,17,19
2,20:50,16,19
2,20:55,15,19
2,21:0,14,19
2,21:5,13,19
2,21:10,12,19
2,21:15,11,19
2,21:20,10,20
2,21:25,9,21
2,21:30,8,22
2,21:35,7,23
2,21:40,6,23
2,21:45,5,23
2,21:50,4,23
2,21:55,3,23
2,22:0,2,22
2,22:5,2,21
2,22:10,3,20
2,22:10,3,20
2,0:0,7,23
2,0:5,9,22
2,0:10,10,21
2,0:15,11,20
2,0:20,12,19
2,0:25,13,19
2,0:30,14,19
2,0:35,15,19
2,0:40,16,19
2,0:45,17,19
2,0:50,18,19
2,0:55,19,19
2,1:0,20,18
2,1:5,20,17
2,1:10,20,16
2,1:15,20,15
2,1:20,20,14
2,1:25,20,13
2,1:30,20,12
2,1:35,21,11
2,1:40,22,10
2,1:45,23,10
2,1:50,24,9
2,1:55,25,8
2,2:0,25,7
2,2:5,25,6
2,2:10,25,5
2,2:10,25,5
2,2:10,7,23
2,2:15,9,23
2,2:20,10,22
2,2:25,9,21
2,2:30,9,20
2,2:35,9,19
2,2:40,9,18
2,2:45,10,17
2,2:50,10,16
2,2:55,11,15
2,3:0,11,14
2,3:5,11,13
2,3:10,11,12
2,3:15,11,11
2,3:20,12,10
2,3:25,13,10
2,3:30,14,10
2,3:35,15,10
2,3:40,16,10
2,3:45,17,10
2,3:50,18,10
2,3:55,19,10
2,4:0,20,10
2,4:5,21,10
2,4:10,22,9
2,4:15,23,9
2,4:20,24,10
2,4:25,25,9
2,4:30,26,8
2,4:35,26,7
2,4:40,26,6
2,4:45,25,5
2,4:45,25,5
2,4:45,7,23
2,4:50,5,22
2,4:55,5,21
2,5:0,5,20
2,5:5,5,19
2,5:10,4,18
2,5:15,4,17
2,5:20,4,16
2,5:25,4,15
2,5:30,5,14
2,5:35,6,14
2,5:40,7,14
2,5:45,8,14
2,5:50,9,13
2,5:55,10,12
2,6:0,10,11
2,6:5,11,10
2,6:10,12,9
2,6:15,13,9
2,6:20,14,9
2,6:25,15,9
2,6:30,16,9
2,6:35,17,9
2,6:40,18,9
2,6:45,19,9
2,6:50,20,9
2,6:55,21,8
2,7:0,22,7
2,7:5,23,6
2,7:10,23,5
2,7:15,23,4
2,7:20,23,3
2,7:25,23,2
2,7:30,23,1
2,7:35,24,0
2,7:40,25,1
2,7:45,25,2
2,7:50,25,3
2,7:55,25,4
2,8:0,25,5
2,8:0,25,5
2,22:10,12,6
2,22:15,11,8
2,22:20,12,9
2,22:25,13,9
2,22:30,14,9
2,22:35,15,9
2,22:40,16,9
2,22:45,17,9
2,22:50,18,9
2,22:55,19,9
2,23:0,20,10
2,23:5,21,10
2,23:10,22,10
2,23:15,23,10
2,23:20,24,10
2,23:25,25,10
2,23:30,26,11
2,23:35,26,12
2,23:40,26,13
2,23:45,26,14
2,23:50,26,15
2,23:55,26,16
2,24:0,26,17
2,24:5,26,18
2,24:5,26,18
2,24:5,12,6
2,24:10,10,7
2,24:15,10,8
2,24:20,11,9
2,24:25,12,10
2,24:30,13,10
2,24:35,14,10
2,24:40,15,10
2,24:45,16,10
2,24:50,17,10
2,24:55,18,10
2,25:0,19,10
2,25:5,20,9
2,25:10,21,9
2,25:15,22,9
2,25:20,23,9
2,25:25,24,9
2,25:30,25,9
2,25:35,26,10
2,25:40,27,11
2,25:45,27,12
2,25:50,27,13
2,25:55,27,14
2,26:0,27,15
2,26:5,27,16
2,26:10,27,17
2,26:15,26,18
2,26:15,26,18
2,15:10,15,12
2,15:15,14,10
2,15:20,13,10
2,15:25,12,9
2,15:30,11,8
2,15:35,11,7
2,15:40,12,6
2,15:40,12,6
2,8:0,26,14
2,8:5,26,12
2,8:10,26,11
2,8:15,25,10
2,8:20,24,10
2,8:25,23,10
2,8:30,22,10
2,8:35,21,10
2,8:40,20,10
2,8:45,19,10
2,8:50,18,10
2,8:55,17,10
2,9:0,16,10
2,9:5,15,10
2,9:10,14,10
2,9:15,13,10
2,9:20,12,10
2,9:25,11,10
2,9:30,10,10
2,9:35,9,10
2,9:40,8,10
2,9:45,7,10
2,9:50,6,10
2,9:55,5,10
2,9:55,5,10
2,9:55,26,14
2,10:0,27,12
2,10:5,27,11
2,10:10,26,10
2,10:15,25,9
2,10:20,24,9
2,10:25,23,9
2,10:30,22,9
2,10:35,21,9
2,10:40,20,9
2,10:45,19,9
2,10:50,18,9
2,10:55,17,9
2,11:0,16,9
2,11:5,15,9
2,11:10,14,9
2,11:15,13,9
2,11:20,12,9
2,11:25,11,9
